,日期,成交股數,開盤價,最高價,最低價,收盤價,成交筆數
9,106/10/18,"39,444",586.0,594.0,577.0,582.0,45
10,106/10/19,"39,200",584.0,586.0,575.0,575.0,42
11,106/10/20,"109,287",572.0,573.0,566.0,569.0,118
12,106/10/23,"136,497",570.0,588.0,570.0,579.0,87
13,106/10/24,"32,073",575.0,580.0,570.0,571.0,37
14,106/10/25,"44,175",573.0,582.0,573.0,579.0,22
15,106/10/26,"105,143",581.0,596.0,579.0,596.0,110
16,106/10/27,"165,366",596.0,607.0,587.0,605.0,174
17,106/10/30,"132,781",601.0,601.0,564.0,564.0,120
18,106/10/31,"37,225",564.0,573.0,564.0,568.0,43
0,106/11/01,"70,667",569.0,572.0,556.0,557.0,58
1,106/11/02,"100,242",553.0,553.0,538.0,539.0,105
2,106/11/03,"228,179",536.0,552.0,529.0,532.0,84
3,106/11/06,"11,173",541.0,541.0,534.0,536.0,16
4,106/11/07,"97,624",542.0,542.0,528.0,530.0,40
5,106/11/08,"58,307",536.0,537.0,521.0,522.0,64
6,106/11/09,"61,522",522.0,537.0,515.0,515.0,75
7,106/11/10,"89,000",518.0,523.0,514.0,515.0,25
8,106/11/13,"73,329",518.0,527.0,514.0,527.0,58
9,106/11/14,"27,105",527.0,530.0,517.0,526.0,29
10,106/11/15,"33,312",528.0,528.0,520.0,525.0,38
11,106/11/16,"61,090",523.0,539.0,521.0,537.0,62
12,106/11/17,"32,394",529.0,544.0,529.0,536.0,43
13,106/11/20,"21,180",532.0,532.0,523.0,526.0,23
14,106/11/21,"136,283",516.0,524.0,508.0,508.0,147
15,106/11/22,"52,022",508.0,523.0,508.0,522.0,53
16,106/11/23,"34,110",523.0,523.0,517.0,517.0,38
17,106/11/24,"23,050",517.0,526.0,517.0,523.0,25
18,106/11/27,"22,010",524.0,525.0,522.0,522.0,22
19,106/11/28,"18,033",522.0,534.0,522.0,532.0,21
20,106/11/29,"43,061",530.0,543.0,528.0,543.0,47
21,106/11/30,"54,072",547.0,548.0,532.0,545.0,52
0,106/12/01,"35,161",544.0,544.0,534.0,538.0,37
1,106/12/04,"30,402",529.0,530.0,520.0,523.0,39
2,106/12/05,"36,127",516.0,531.0,516.0,520.0,42
3,106/12/06,"143,085",520.0,526.0,500.0,510.0,89
4,106/12/07,"59,184",520.0,520.0,503.0,509.0,63
5,106/12/08,"93,050",512.0,524.0,508.0,524.0,84
6,106/12/11,"30,026",523.0,523.0,510.0,511.0,33
7,106/12/12,"29,037",511.0,511.0,504.0,507.0,32
8,106/12/13,"49,355",510.0,514.0,505.0,505.0,53
9,106/12/14,"45,945",509.0,511.0,506.0,509.0,59
10,106/12/15,"57,216",510.0,516.0,505.0,516.0,62
11,106/12/18,"30,000",511.0,511.0,507.0,507.0,30
12,106/12/19,"48,703",514.0,514.0,507.0,510.0,47
13,106/12/20,"35,034",515.0,525.0,513.0,522.0,38
14,106/12/21,"2,000",516.0,516.0,516.0,516.0,2
15,106/12/22,"40,150",513.0,517.0,508.0,508.0,44
16,106/12/25,"4,114",517.0,517.0,511.0,514.0,8
17,106/12/26,"25,087",512.0,512.0,510.0,510.0,30
18,106/12/27,"32,000",510.0,513.0,510.0,512.0,30
19,106/12/28,"88,030",512.0,513.0,510.0,511.0,88
20,106/12/29,"168,010",511.0,523.0,511.0,515.0,111
0,107/01/02,"33,814",521.00,521.00,516.00,520.00,42
1,107/01/03,"53,114",520.00,527.00,520.00,521.00,59
2,107/01/04,"54,545",521.00,529.00,520.00,529.00,57
3,107/01/05,"66,221",540.00,540.00,533.00,540.00,68
4,107/01/08,"57,120",546.00,549.00,530.00,535.00,61
5,107/01/09,"29,220",534.00,544.00,531.00,536.00,30
6,107/01/10,"20,525",536.00,541.00,535.00,535.00,24
7,107/01/11,0,--,--,--,--,0
8,107/01/12,"19,139",539.00,544.00,539.00,541.00,22
9,107/01/15,"6,060",541.00,542.00,536.00,540.00,9
10,107/01/16,"14,120",540.00,543.00,540.00,541.00,15
11,107/01/17,"24,399",543.00,543.00,537.00,537.00,29
12,107/01/18,"17,070",540.00,542.00,539.00,540.00,22
13,107/01/19,"9,000",549.00,549.00,535.00,541.00,9
14,107/01/22,"17,548",545.00,545.00,534.00,539.00,19
15,107/01/23,"47,486",540.00,540.00,517.00,520.00,57
16,107/01/24,"26,078",525.00,531.00,520.00,520.00,28
17,107/01/25,"81,134",520.00,535.00,518.00,528.00,65
18,107/01/26,"29,000",530.00,530.00,523.00,523.00,29
19,107/01/29,"31,180",523.00,540.00,523.00,538.00,36
20,107/01/30,"21,115",538.00,538.00,525.00,528.00,26
21,107/01/31,"51,178",527.00,527.00,517.00,517.00,59
0,107/02/01,"36,078",517.0,521.0,517.0,518.0,40
1,107/02/02,"37,665",524.0,524.0,510.0,519.0,46
2,107/02/05,"31,141",508.0,515.0,505.0,515.0,36
3,107/02/06,"107,801",501.0,501.0,486.0,493.5,88
4,107/02/07,"33,607",494.0,506.0,487.0,490.0,39
5,107/02/08,"148,000",490.0,497.0,485.5,490.0,50
6,107/02/09,"27,128",490.0,493.0,484.0,490.0,30
7,107/02/12,"67,100",492.0,497.0,492.0,494.0,68
8,107/02/21,"182,120",496.0,512.0,496.0,501.0,184
9,107/02/22,"213,915",501.0,503.0,500.0,500.0,127
10,107/02/23,"138,010",504.0,504.0,498.5,500.0,73
11,107/02/26,"60,176",500.0,500.0,492.5,493.5,33
12,107/02/27,"91,097",497.0,499.5,494.0,499.5,86
0,107/03/01,"235,569",500.0,529.0,495.0,526.0,233
1,107/03/02,"87,569",526.0,526.0,512.0,514.0,90
2,107/03/05,"82,063",514.0,527.0,510.0,511.0,87
3,107/03/06,"129,344",514.0,516.0,508.0,514.0,52
4,107/03/07,"34,475",512.0,520.0,512.0,515.0,47
5,107/03/08,"17,375",524.0,524.0,519.0,520.0,20
6,107/03/09,"34,338",513.0,525.0,513.0,525.0,38
7,107/03/12,"45,054",525.0,528.0,520.0,524.0,39
8,107/03/13,"74,554",524.0,535.0,524.0,532.0,77
9,107/03/14,"29,000",530.0,530.0,520.0,524.0,29
10,107/03/15,"56,205",527.0,533.0,525.0,525.0,54
11,107/03/16,"58,127",516.0,521.0,510.0,519.0,49
12,107/03/19,"69,003",525.0,531.0,520.0,530.0,67
13,107/03/20,"41,129",530.0,532.0,521.0,530.0,36
14,107/03/21,"70,148",538.0,538.0,531.0,535.0,75
15,107/03/22,"48,180",538.0,542.0,535.0,540.0,48
16,107/03/23,"21,162",532.0,540.0,532.0,537.0,26
17,107/03/26,"54,394",537.0,548.0,536.0,548.0,58
18,107/03/27,"67,044",544.0,550.0,529.0,544.0,68
19,107/03/28,"81,135",549.0,565.0,540.0,561.0,84
20,107/03/29,"85,629",565.0,570.0,562.0,565.0,54
21,107/03/30,"6,008",561.0,561.0,557.0,557.0,7
22,107/03/31,"3,000",558.0,558.0,554.0,554.0,3
0,107/04/02,"23,617",567.0,567.0,562.0,564.0,29
1,107/04/03,"143,489",570.0,576.0,567.0,573.0,141
2,107/04/09,"193,454",570.0,578.0,568.0,577.0,161
3,107/04/10,"22,145",571.0,571.0,564.0,564.0,30
4,107/04/11,"68,100",564.0,576.0,564.0,565.0,49
5,107/04/12,"107,200",557.0,568.0,551.0,559.0,31
6,107/04/13,"67,517",559.0,563.0,556.0,560.0,18
7,107/04/16,"95,575",558.0,569.0,552.0,556.0,29
8,107/04/17,"44,050",559.0,559.0,538.0,538.0,39
9,107/04/18,"37,952",555.0,558.0,536.0,538.0,42
10,107/04/19,"11,129",532.0,545.0,518.0,542.0,14
11,107/04/20,"16,050",542.0,546.0,539.0,539.0,10
12,107/04/23,"4,000",525.0,531.0,525.0,531.0,4
13,107/04/24,"11,105",531.0,542.0,526.0,538.0,13
14,107/04/25,"75,095",528.0,548.0,520.0,528.0,31
15,107/04/26,"104,119",523.0,534.0,520.0,530.0,46
16,107/04/27,"20,139",517.0,522.0,517.0,518.0,25
17,107/04/30,"27,043",518.0,532.0,507.0,528.0,30
0,107/05/02,"17,212",518.0,529.0,518.0,527.0,19
1,107/05/03,"47,894",511.0,525.0,511.0,515.0,53
2,107/05/04,"9,033",515.0,518.0,514.0,514.0,13
3,107/05/07,"65,010",526.0,526.0,511.0,511.0,69
4,107/05/08,"32,050",510.0,510.0,501.0,506.0,33
5,107/05/09,"72,000",500.0,506.0,497.5,503.0,66
6,107/05/10,"82,264",495.5,505.0,495.5,501.0,44
7,107/05/11,"56,010",501.0,505.0,500.0,502.0,56
8,107/05/14,"23,000",502.0,511.0,502.0,510.0,23
9,107/05/15,"35,124",518.0,520.0,508.0,514.0,41
10,107/05/16,"104,201",515.0,515.0,511.0,512.0,110
11,107/05/17,"69,030",509.0,512.0,505.0,511.0,69
12,107/05/18,"678,436",511.0,512.0,499.0,501.0,66
13,107/05/21,"397,120",529.0,529.0,510.0,514.0,105
14,107/05/22,"59,349",505.0,508.0,496.0,496.0,68
15,107/05/23,"118,069",496.5,499.5,483.0,492.5,70
16,107/05/24,"35,623",492.5,498.5,489.5,495.0,33
17,107/05/25,"20,180",490.5,490.5,487.5,490.0,22
18,107/05/28,"19,642",490.0,490.0,484.0,488.0,31
19,107/05/29,"22,000",488.0,498.5,488.0,490.0,22
20,107/05/30,"84,070",494.0,494.0,472.0,482.0,68
0,107/06/01,"118,977",478.0,478.0,461.0,463.0,100
1,107/06/04,"69,144",468.5,473.0,465.0,469.0,69
2,107/06/05,"56,129",470.0,487.0,470.0,476.0,61
0,107/07/02,"22,796",521.0,529.0,520.0,522.0,34
1,107/07/03,"13,214",524.0,527.0,524.0,527.0,18
2,107/07/04,"95,387",527.0,543.0,527.0,542.0,95
3,107/07/05,"37,023",527.0,542.0,523.0,528.0,39
4,107/07/06,"17,811",536.0,536.0,531.0,534.0,26
5,107/07/09,"230,189",534.0,540.0,518.0,539.0,52
6,107/07/10,"15,108",542.0,543.0,537.0,537.0,19
7,107/07/11,"30,000",523.0,534.0,519.0,519.0,30
8,107/07/12,"27,024",537.0,537.0,513.0,518.0,29
9,107/07/13,"12,499",513.0,526.0,513.0,519.0,18
10,107/07/16,"39,299",518.0,537.0,515.0,536.0,47
11,107/07/17,"61,498",521.0,539.0,521.0,537.0,70
12,107/07/18,"20,120",531.0,545.0,531.0,545.0,27
13,107/07/19,"14,996",547.0,547.0,542.0,543.0,22
14,107/07/20,"39,000",542.0,542.0,537.0,539.0,39
15,107/07/23,"29,991",540.0,541.0,538.0,540.0,36
16,107/07/24,"27,255",540.0,543.0,536.0,541.0,20
