,證券代號,證券名稱
428,2368,金像電
429,2369,菱生
430,2371,大同
431,2373,震旦行
432,2374,佳能
433,2375,智寶
434,2376,技嘉
435,2377,微星
436,2379,瑞昱
437,2380,虹光
438,2382,廣達
439,2383,台光電
440,2385,群光
441,2387,精元
442,2388,威盛
443,2390,云辰
444,2392,正崴
445,2393,億光
446,2395,研華
447,2397,友通
448,2399,映泰
449,2401,凌陽
450,2402,毅嘉
451,2404,漢唐
452,2405,浩鑫
453,2406,國碩
454,2408,南亞科
455,2409,友達
456,2412,中華電
457,2413,環科
458,2414,精技
459,2415,錩新
460,2417,圓剛
461,2419,仲琦
462,2420,新巨
463,2421,建準
464,2423,固緯
465,2424,隴華
466,2425,承啟
467,2426,鼎元
468,2427,三商電
469,2428,興勤
470,2429,銘旺科
471,2430,燦坤
472,2431,聯昌
473,2433,互盛電
474,2434,統懋
475,2436,偉詮電
476,2438,翔耀
477,2439,美律
478,2440,太空梭
479,2441,超豐
480,2442,新美齊
481,2443,新利虹
482,2444,兆勁
483,2448,晶電
484,2449,京元電子
485,2450,神腦
486,2451,創見
487,2453,凌群
488,2454,聯發科
489,2455,全新
490,2456,奇力新
491,2457,飛宏
492,2458,義隆
493,2459,敦吉
494,2460,建通
495,2461,光群雷
496,2462,良得電
497,2464,盟立
498,2465,麗臺
499,2466,冠西電
500,2467,志聖
501,2468,華經
502,2471,資通
503,2472,立隆電
504,2474,可成
505,2475,華映
506,2476,鉅祥
507,2477,美隆電
508,2478,大毅
509,2480,敦陽科
510,2481,強茂
511,2482,連宇
512,2483,百容
513,2484,希華
514,2485,兆赫
515,2486,一詮
516,2488,漢平
517,2489,瑞軒
518,2491,吉祥全
519,2492,華新科
520,2493,揚博
521,2495,普安
522,2496,卓越
523,2497,怡利電
524,2498,宏達電
525,2499,東貝
526,2501,國建
527,2504,國產
528,2505,國揚
529,2506,太設
530,2509,全坤建
531,2511,太子
532,2514,龍邦
533,2515,中工
534,2516,新建
535,2520,冠德
536,2524,京城
537,2527,宏璟
538,2528,皇普
539,2530,華建
540,2534,宏盛
541,2535,達欣工
542,2536,宏普
543,2537,聯上發
544,2538,基泰
545,2539,櫻花建
546,2540,愛山林
547,2542,興富發
548,2543,皇昌
549,2545,皇翔
550,2546,根基
551,2547,日勝生
552,2548,華固
553,2597,潤弘
554,2601,益航
555,2603,長榮
556,2605,新興
557,2606,裕民
558,2607,榮運
559,2608,嘉里大榮
560,2609,陽明
561,2610,華航
562,2611,志信
563,2612,中航
564,2613,中櫃
565,2614,東森
566,2615,萬海
567,2616,山隆
568,2617,台航
569,2618,長榮航
570,2630,亞航
571,2633,台灣高鐵
572,2634,漢翔
573,2636,台驊投控
574,2637,慧洋-KY
575,2642,宅配通
576,2701,萬企
577,2702,華園
578,2704,國賓
579,2705,六福
580,2706,第一店
581,2707,晶華
582,2712,遠雄來
583,2722,夏都
584,2723,美食-KY
585,2727,王品
586,2731,雄獅
587,2739,寒舍
588,2748,雲品
589,2801,彰銀
590,2809,京城銀
591,2812,台中銀
592,2816,旺旺保
593,2820,華票
594,2823,中壽
595,2832,台產
596,2834,臺企銀
597,2836,高雄銀
598,2838,聯邦銀
599,2838A,聯邦銀甲特
600,2841,台開
601,2845,遠東銀
602,2849,安泰銀
603,2850,新產
604,2851,中再保
605,2852,第一保
606,2855,統一證
607,2867,三商壽
608,2880,華南金
609,2881,富邦金
610,2881A,富邦特
611,2881B,富邦金乙特
612,2882,國泰金
613,2882A,國泰特
614,2882B,國泰金乙特
615,2883,開發金
616,2884,玉山金
617,2885,元大金
618,2886,兆豐金
619,2887,台新金
620,2887E,台新戊特
621,2887F,台新戊特二
622,2888,新光金
623,2889,國票金
624,2890,永豐金
625,2891,中信金
626,2891B,中信金乙特
627,2892,第一金
628,2897,王道銀行
629,2897A,王道銀甲特
630,2901,欣欣
631,2903,遠百
632,2904,匯僑
633,2905,三商
634,2906,高林
635,2908,特力
636,2910,統領
637,2911,麗嬰房
638,2912,統一超
639,2913,農林
640,2915,潤泰全
641,2923,鼎固-KY
642,2929,淘帝-KY
643,2936,客思達-KY
644,2939,凱羿-KY
645,3002,歐格
646,3003,健和興
647,3004,豐達科
648,3005,神基
649,3006,晶豪科
650,3008,大立光
651,3010,華立
652,3011,今皓
653,3013,晟銘電
654,3014,聯陽
655,3015,全漢
656,3016,嘉晶
657,3017,奇鋐
658,3018,同開
659,3019,亞光
660,3021,鴻名
661,3022,威強電
662,3023,信邦
663,3024,憶聲
664,3025,星通
665,3026,禾伸堂
666,3027,盛達
667,3028,增你強
668,3029,零壹
669,3030,德律
670,3031,佰鴻
671,3032,偉訓
672,3033,威健
673,3034,聯詠
674,3035,智原
675,3036,文曄
676,3037,欣興
677,3038,全台
678,3040,遠見
679,3041,揚智
680,3042,晶技
681,3043,科風
682,3044,健鼎
683,3045,台灣大
684,3046,建碁
685,3047,訊舟
686,3048,益登
687,3049,和鑫
688,3050,鈺德
689,3051,力特
690,3052,夆典
691,3054,立萬利
692,3055,蔚華科
693,3056,總太
694,3057,喬鼎
695,3058,立德
696,3059,華晶科
697,3060,銘異
698,3062,建漢
699,3090,日電貿
700,3094,聯傑
701,3130,一零四
702,3149,正達
703,3164,景岳
704,3167,大量
705,3189,景碩
706,3209,全科
707,3229,晟鈦
708,3231,緯創
709,3257,虹冠電
710,3266,昇陽
711,3296,勝德
712,3305,昇貿
713,3308,聯德
714,3311,閎暉
715,3312,弘憶股
716,3321,同泰
717,3338,泰碩
718,3346,麗清
719,3356,奇偶
720,3376,新日興
721,3380,明泰
722,3383,新世紀
723,3406,玉晶光
724,3413,京鼎
725,3416,融程電
726,3419,譁裕
727,3432,台端
728,3437,榮創
729,3443,創意
730,3450,聯鈞
731,3454,晶睿
732,3481,群創
733,3494,誠研
734,3501,維熹
735,3504,揚明光
736,3515,華擎
737,3518,柏騰
738,3519,綠能
739,3528,安馳
740,3530,晶相光
741,3532,台勝科
742,3533,嘉澤
743,3535,晶彩科
744,3536,誠創
745,3545,敦泰
746,3550,聯穎
747,3557,嘉威
748,3576,聯合再生
749,3579,尚志
750,3583,辛耘
751,3588,通嘉
752,3591,艾笛森
753,3593,力銘
754,3596,智易
755,3605,宏致
756,3607,谷崧
757,3617,碩天
758,3622,洋華
759,3645,達邁
760,3653,健策
761,3661,世芯-KY
762,3665,貿聯-KY
763,3669,圓展
764,3673,TPK-KY
765,3679,新至陞
766,3682,亞太電
767,3686,達能
768,3694,海華
769,3698,隆達
770,3701,大眾控
771,3702,大聯大
772,3703,欣陸
773,3704,合勤控
774,3705,永信
775,3706,神達
776,3708,上緯投控
777,3711,日月光投控
778,3712,永崴投控
779,4104,佳醫
780,4106,雃博
781,4108,懷特
782,4119,旭富
783,4133,亞諾法
784,4137,麗豐-KY
785,4141,龍燈-KY
786,4142,國光生
787,4144,康聯-KY
788,4148,全宇生技-KY
789,4155,訊映
790,4164,承業醫
791,4190,佐登-KY
792,4306,炎洲
793,4414,如興
794,4426,利勤
795,4438,廣越
